المنتج,سعر المنتج,صورة المنتج,رابط المنتج,المنافس,__المنافس__,__صف_الملف__,__سبب_التلف__
عينة زيرجوف كيمي كيمي برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/7329fd53-5c2b-47fe-9395-ccf81a706ace-500x500-ovD00AhLhBnBALPUsiyKsCUUvDAQONszqOiTRasp.jpg",https://mahally.com/products/1313514692/1058288116/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=558&index=products_v2_store_view,م فنيلا,م فنيلا.csv,579,عينة_أو_مرفوض
عينة رالف لورين بولو 67 او دو تواليت 10 مل,85.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/2a95a572-ed17-4a16-b8cd-93094df1359b-500x500-yzol9Ayc2FK3nhuq3tbIqu631vemgGZyrAc8jBAm.jpg",https://mahally.com/products/1313514692/1889258921/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=559&index=products_v2_store_view,م فنيلا,م فنيلا.csv,580,عينة_أو_مرفوض
عينة زيرجوف بوكيه ايديال او دو برفيوم 2مل,25.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/117a2d57-2c7b-4b88-b43e-a26a7e507933-500x500-u72vetAH6Lh2nUZcYgFgyUQYmYrKgJ7I4NTGBpsd.jpg",https://mahally.com/products/1313514692/741484410/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=565&index=products_v2_store_view,م فنيلا,م فنيلا.csv,586,عينة_أو_مرفوض
عينة زيرجوف اكسينتو او دو برفيوم 2مل,34.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/bd72c710-dd76-41ae-b697-98ba3ae36c72-500x500-xdf2b6AAaMyEGH3Mvdnx6cMIpnpl9Wp4vXPIwwFX.jpg",https://mahally.com/products/1313514692/172770630/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=576&index=products_v2_store_view,م فنيلا,م فنيلا.csv,597,عينة_أو_مرفوض
عينة زيرجوف كيمي حياة برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/34f0cf52-35fd-46ad-98f5-108291e310ee-500x500-PHochrsteUyU4TURKyBT5YgHu3BCClTzpxM8DO5D.jpg",https://mahally.com/products/1313514692/775626188/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=579&index=products_v2_store_view,م فنيلا,م فنيلا.csv,600,عينة_أو_مرفوض
عينة زيرجوف ايلي انيفيرسري برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/37d9e10d-974f-42f3-80dc-b3244c0d5374-500x500-0eSxcvm0LBRpYDaHgWCh5Km7wiAeRUmgu83bOgUt.jpg",https://mahally.com/products/1313514692/248535819/?queryID=20a4c09164b4ca9c82d88a3ec5b93ed2&position=598&index=products_v2_store_view,م فنيلا,م فنيلا.csv,619,عينة_أو_مرفوض
عينة جيرلان صحاري الشرق او دو برفيوم 1مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/c947c425-9e2b-425b-ae3c-a0ca565be3a1-500x500-LVwry8pb1VSYHCd7r5dQoZInqap9FMDbvpL9BLOn.jpg",https://mahally.com/products/1313514692/1341357214/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=601&index=products_v2_store_view,م فنيلا,م فنيلا.csv,622,عينة_أو_مرفوض
عينة زيرجوف كيمي لونا برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/0c899a7e-d42b-42c1-9f87-476485fd62a0-500x500-AQcwnwGSnoVr96bp7cevfYa22IG6637gzjB49Jic.jpg",https://mahally.com/products/1313514692/1040014171/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=604&index=products_v2_store_view,م فنيلا,م فنيلا.csv,625,عينة_أو_مرفوض
عينة ديور سوفاج او دو برفيوم 1مل,8.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/9bdd9f28-e344-4a33-b775-fc62141630e5-500x500-2iHvvVmgQPmQkoRfJSnYT2zXEK4zraZ02TeqpIL1.jpg",https://mahally.com/products/1313514692/1814856591/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=611&index=products_v2_store_view,م فنيلا,م فنيلا.csv,632,عينة_أو_مرفوض
عينة ايف سان لوران ليبر او دو بارفيوم 3مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/f2914c3e-d353-4640-9237-31023429e25c-500x500-jTRqUEYa90LfX4ojhlgSEOpFje5t62PHznUOnCNo.jpg",https://mahally.com/products/1313514692/1048989399/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=628&index=products_v2_store_view,م فنيلا,م فنيلا.csv,649,عينة_أو_مرفوض
عينة بولغاري مان تيري اسنس او دو بارفيوم 1.5مل,5.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/fdbe2468-97c1-4fd2-ac70-6de84f310116-500x500-4k78Yajfq2USIq69UtzLBzsogTOgPnK12Bw4DAZh.jpg",https://mahally.com/products/1313514692/456445588/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=645&index=products_v2_store_view,م فنيلا,م فنيلا.csv,666,عينة_أو_مرفوض
عينة زيرجوف كيمي جابر برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/efe8d304-900e-4334-af5c-c6d2e0f6c344-500x500-vJuobHVzqbSxCPM2OeWqI6SugNgdoTNgssK63VgJ.jpg",https://mahally.com/products/1313514692/1021647243/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=648&index=products_v2_store_view,م فنيلا,م فنيلا.csv,669,عينة_أو_مرفوض
عينة زيرجوف كيمي ايلم برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/a63e3f27-a47c-4c5e-955d-2a96e9aa3527-500x500-leP7AriV7WgDjJFSsqEPeeE5RE4V6PRHb8FxB9nr.jpg",https://mahally.com/products/1313514692/623565704/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=664&index=products_v2_store_view,م فنيلا,م فنيلا.csv,685,عينة_أو_مرفوض
عينة زيرجوف كيمي ايثر برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/10def869-c1bf-4262-90bd-77fcb79342b0-500x500-6GNjToXmEUxm3lmYWxDzRyIMB2UaJs65HanptqXk.jpg",https://mahally.com/products/1313514692/1385405517/?queryID=997681c5c185bedbd4a9c0524dae77b2&position=665&index=products_v2_store_view,م فنيلا,م فنيلا.csv,686,عينة_أو_مرفوض
عينة مونت بلانك امبليم او دو تواليت 1.2مل,4.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/ewcxcL9bM5PRLJTspCDWa7SkW3yVLQm1MVDVDsDi.jpg",https://mahally.com/products/1313514692/1769462899/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=708&index=products_v2_store_view,م فنيلا,م فنيلا.csv,729,عينة_أو_مرفوض
عينة ميمو روز باريس روز او دو برفيوم 1.5مل,34.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/2e3330ca-6786-4838-b88d-6d59a20f0c80-500x500-mOOprJzjLAEmEApJA2erRnj4rAwxgocmfN9aafdc.jpg",https://mahally.com/products/1313514692/1433350452/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=718&index=products_v2_store_view,م فنيلا,م فنيلا.csv,739,عينة_أو_مرفوض
عينة لاكوست ال 12.12 بلانك او دو تواليت 1.2مل,16.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/066e4a46-991d-4009-98ee-2725969e90f8-500x500-DjIeXo28bgHbi679UMFB7z0vI22pKDINxUomPNgt.jpg",https://mahally.com/products/1313514692/955547580/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=728&index=products_v2_store_view,م فنيلا,م فنيلا.csv,749,عينة_أو_مرفوض
عينة كارولينا هيريرا قود غيرل ميدنايت او دو بارفيوم 1.5مل,6.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/751b3b63-9535-4756-be9d-47866e55d12e-500x500-s9MRTRZwMKyqh4nob59nJpVtDMnxghXV7ZEiLG9S.jpg",https://mahally.com/products/1313514692/551921811/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=750&index=products_v2_store_view,م فنيلا,م فنيلا.csv,771,عينة_أو_مرفوض
عينة جيمي شو اي ونت شو بارفيوم 10مل,89.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/66884436-6118-45bd-91d2-18f8bf2f8877-500x500-umVKDc17TUP1ZV9a5slhJCbhIq3hrjLAh9xeJCmZ.jpg",https://mahally.com/products/1313514692/344978541/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=752&index=products_v2_store_view,م فنيلا,م فنيلا.csv,773,عينة_أو_مرفوض
عينة موغلر الين جوديس او دو برفيوم 1.2مل,18.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/d2fd552d-dfad-4723-91c9-d2f63b3700ea-500x500-khHh2aGG4ychjTtEmossDTKfsR7APs863VZEQliZ.jpg",https://mahally.com/products/1313514692/2001369440/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=754&index=products_v2_store_view,م فنيلا,م فنيلا.csv,775,عينة_أو_مرفوض
عينة زيرجوف ستار مسك برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/b993bcdb-11ba-4ef0-a1ea-1f2d18d11a3e-500x500-pSF5SdzXX0yL3ZPx2INMq6jDrR8C5QZtC9xoa0q0.jpg",https://mahally.com/products/1313514692/1556575209/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=780&index=products_v2_store_view,م فنيلا,م فنيلا.csv,801,عينة_أو_مرفوض
عينة ايلي صعب جيرل اوف ناو فوريفر او دو برفيوم 1مل,4.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/0b784e3e-5d38-4f81-bbcf-8ddbb5b8131f-500x500-VZocXchmJC83khauKSpRokoPvwNzWXL0r5Rn5BQR.jpg",https://mahally.com/products/1313514692/1109777369/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=790&index=products_v2_store_view,م فنيلا,م فنيلا.csv,811,عينة_أو_مرفوض
عينة نارسيسو رودريغز اول اوف مي انتنس او دو بارفيوم 0.6مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/0e0272e7-8333-4b3b-ac89-0d8fdf29fc72-500x500-F6LxMZTyGp1UCZJHY9yOStMpGkvGPFXsXcB3LSuL.jpg",https://mahally.com/products/1313514692/2090682223/?queryID=c51b21dbe78a9f71fdbff8c0eced771b&position=791&index=products_v2_store_view,م فنيلا,م فنيلا.csv,812,عينة_أو_مرفوض
عينة ايف سان لوران بلاك اوبيوم او دو بارفيوم 3مل,27.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/fc10eee8-e4a8-4a5b-aa6c-81d1c8fdec88-500x500-qKEFgvsixPWs4Yt2HrnuMxKRB7WKsuO8HyYkgok1.jpg",https://mahally.com/products/1313514692/1235887252/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=810&index=products_v2_store_view,م فنيلا,م فنيلا.csv,831,عينة_أو_مرفوض
عينة فيكتور اند رولف فلاور بومب اكستريم او دو برفيوم انتنس 1.2مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/65e5c59c-835d-412b-95bb-f1b86c9e34b6-500x500-Fr3Ri7eOtBPiowoda6HYg0gILlOITJgl4aBiEaeD.jpg",https://mahally.com/products/1313514692/888453861/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=811&index=products_v2_store_view,م فنيلا,م فنيلا.csv,832,عينة_أو_مرفوض
عينة زيرجوف لاتوسكا او دو برفيوم 2مل,28.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/23c4a537-9309-458f-88cb-9d6dfaa9a4a0-500x500-oiq8I8GL8t6ZOvWFwdSE5UQDppL8kwTH9r17bZqF.jpg",https://mahally.com/products/1313514692/867914725/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=812&index=products_v2_store_view,م فنيلا,م فنيلا.csv,833,عينة_أو_مرفوض
عينة ايسينشيال بيرفيوم ذا مسك او دو برفيوم 2مل,27.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/1KJ2JKfoGk9ZPPRBDAeQeo9VRI8rDTWa0TeeZhwM.png",https://mahally.com/products/1313514692/1309802502/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=851&index=products_v2_store_view,م فنيلا,م فنيلا.csv,872,عينة_أو_مرفوض
عينة لانكوم ابسولو عود بوكيه او دو برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/50a692c6-c730-4909-a60e-b9e4cc5b6656-500x500-k53TlqAHsd2HliqGfFQxaPbcTIhkhYW989C604au.jpg",https://mahally.com/products/1313514692/1535341723/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=853&index=products_v2_store_view,م فنيلا,م فنيلا.csv,874,عينة_أو_مرفوض
عينة ميمو باريس مارفا او دو برفيوم 1.5مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/d186eef1-3258-4deb-8261-5e0ca7838331-500x500-2n7tn7mmXdPWMIsS8aicLtEjW1B5fZOnCYmX4l3L.jpg",https://mahally.com/products/1313514692/1904072637/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=864&index=products_v2_store_view,م فنيلا,م فنيلا.csv,885,عينة_أو_مرفوض
عينة زيرجوف جران باللو او دو برفيوم 2مل,36.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/be7f9d5e-d40b-4b79-a113-bfbb3830318a-500x500-76caoZnp6Y1B5n2XXOUz68oKAEI25YegqcWpmBcD.jpg",https://mahally.com/products/1313514692/73452606/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=889&index=products_v2_store_view,م فنيلا,م فنيلا.csv,910,عينة_أو_مرفوض
عينة بربري قولد برفيوم 1.5مل,12.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/45302404-6987-4b1c-ab5a-f3760033b91c-500x500-lAvsF1gWlsrzz12QFIxJmnyevQvefCuLcTRhJpLw.jpg",https://mahally.com/products/1313514692/1675242492/?queryID=4b6853229b6c85f4690eee7c10a1fbd6&position=893&index=products_v2_store_view,م فنيلا,م فنيلا.csv,914,عينة_أو_مرفوض
عينة ايسينشيال بيرفيوم أورانج X سانتال أو دو بارفيوم 2 مل,13.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/SMNYgUqc9HW9QdCfCmxrgPIsqo7S8XXl9g6elPIT.png",https://mahally.com/products/1313514692/278263787/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=905&index=products_v2_store_view,م فنيلا,م فنيلا.csv,926,عينة_أو_مرفوض
عينة مايكل كورس واندرلاست او دو برفيوم 1مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/cbe70088-136f-4181-9364-087f9ca669ee-500x500-I0cPLgvlWiLWdIhLahuhnJBmKVnZjoURk8r54EDu.jpg",https://mahally.com/products/1313514692/1119742117/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=953&index=products_v2_store_view,م فنيلا,م فنيلا.csv,974,عينة_أو_مرفوض
عينة لاكوست بور فيم او دو برفيوم 2مل,19.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/4da9acd5-9c6a-4d94-a828-0ad7a6a8ede3-500x500-ganvs8I8dDqhEHj73lyJ2ktf8NJuJATUvmIqVKz1.jpg",https://mahally.com/products/1313514692/1961297735/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=962&index=products_v2_store_view,م فنيلا,م فنيلا.csv,983,عينة_أو_مرفوض
عينة قوتشي عود انتنس او دو برفيوم 2مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/9fca4d6b-c519-4cb0-8378-b800ec143528-500x500-BMx9GQTAC4cEaeGK4rW5v6PQmZkcbhMQ92jTvOTI.jpg",https://mahally.com/products/1313514692/1789798990/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=969&index=products_v2_store_view,م فنيلا,م فنيلا.csv,990,عينة_أو_مرفوض
عينة بربري جولد او دو بارفيوم انتنس 1.5مل,7.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/6e975230-6622-480a-a63f-adcd5185934d-500x500-XTYTUatEqJwDqbLkQeTQNHK8uTFtKCYkX1WSdf5d.jpg",https://mahally.com/products/1313514692/549464518/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=970&index=products_v2_store_view,م فنيلا,م فنيلا.csv,991,عينة_أو_مرفوض
عينة ايلي صعب لو بارفوم برايدل او دو برفيوم 1.5مل,12.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/c54c111e-775c-4694-a40a-2e5ad132628b-471.71052631579x500-TmIXz3GdioE5SsncqLqhVHif2n8iFp29bgDu8a01.jpg",https://mahally.com/products/1313514692/2072863821/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=983&index=products_v2_store_view,م فنيلا,م فنيلا.csv,1004,عينة_أو_مرفوض
عينة جيفنشي لا انترديت او دو بارفيوم 12.5مل,85.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/124f412e-5795-4ee2-94e0-536bd592621e-500x500-HyUjnQeniNje2VUU5YRHnXF0EsLx0bNR8OK3oOn9.jpg",https://mahally.com/products/1313514692/1023382517/?queryID=a5c56338cc7bf924479d76b3ce263bde&position=984&index=products_v2_store_view,م فنيلا,م فنيلا.csv,1005,عينة_أو_مرفوض
عينة مايسون كريفلي هايبسكس 5مل,143.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/4f5dc395-f55b-468b-8ebc-c469895761c8-500x500-DaUeIvIzHhfmWxFhypXww8j1DVG5mVRqKw4yGMKJ.jpg",https://mahally.com/products/1891860617/1010878252/?queryID=de9e7e815028bc237d4018144d6c7e50&position=5&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,4,عينة_أو_مرفوض
عينة امواج Dia النسائي او دو بارفيوم 2مل,23.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/44dc8434-0332-443a-ac79-079d4070fced-500x500-1iyq1DSgbsKnftPB0WygYnDL5NWF6BdwmMgL2sUj.jpg",https://mahally.com/products/1891860617/1550465381/?queryID=de9e7e815028bc237d4018144d6c7e50&position=35&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,34,عينة_أو_مرفوض
عينة برادا عطر بارادايم او دو بارفان 1.2 مل ميني,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/9bc69ce3-0aae-4717-aabd-27c4edbe640e-500x500-FW7W6HrIVSpIAkjdu3rMLxFs8WYq4wOJLUUBZyhv.jpg",https://mahally.com/products/1891860617/1943709853/?queryID=de9e7e815028bc237d4018144d6c7e50&position=39&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,38,عينة_أو_مرفوض
عينة شانيل بلو بارفيوم الاصدار المركز 1.5مل,23.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/3348dc35-81ef-470e-9cd9-002d63b7850c-500x498.46625766871-VtD5lYMWk3qLiqZaotFhwgXhXnur1SoAbFunH2pu.jpg",https://mahally.com/products/1891860617/962650201/?queryID=de9e7e815028bc237d4018144d6c7e50&position=60&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,59,عينة_أو_مرفوض
عينة عطر سوسبيرو إل بادرين و او دو برفيوم 2ملي,51.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/8f169974-941e-4fe7-a9a9-fac6004fe692-497.171145686x500-q5LT49Hfuo2OlyFwQMpUu2hY3oVDNZ27OQ9rNtl5.jpg",https://mahally.com/products/1891860617/893904012/?queryID=de9e7e815028bc237d4018144d6c7e50&position=80&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,79,عينة_أو_مرفوض
عينة ميمو ايتاليان ليذر للجنسين 1.5 مل,17.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/206b7f5d-2aa6-442d-ac5a-83fe51eecd90-500x500-qJYrC3cuZH36OkZzrR5vc2gnIXSWpxH6uiQrRmVv.jpg",https://mahally.com/products/1891860617/1071703977/?queryID=de9e7e815028bc237d4018144d6c7e50&position=88&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,87,عينة_أو_مرفوض
عينة ديور مس ديور بلومينغ بوكيه او دو تواليت 1مل,11.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/699d878b-3907-431f-b01a-443bb5ba9a26-500x500-5oAD2LyQZiDk7UY66FEkcdkTLm7t7jNPG92wRYif.jpg",https://mahally.com/products/1891860617/1885689693/?queryID=de9e7e815028bc237d4018144d6c7e50&position=90&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,89,عينة_أو_مرفوض
عينة برادا عطر بارادايم او دو بارفان 1.2 مل ميني,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/9bc69ce3-0aae-4717-aabd-27c4edbe640e-500x500-FW7W6HrIVSpIAkjdu3rMLxFs8WYq4wOJLUUBZyhv.jpg",https://mahally.com/products/1891860617/1943709853/?queryID=de9e7e815028bc237d4018144d6c7e50&position=39&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,103,عينة_أو_مرفوض
عينة عطر بولغاري لو جيم اوروم او دو بارفيوم 8مل للرجال,92.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/adMsRt7EDLNQnpEdBtqMjiTUuXnI40GDXve7GbIz.jpg",https://mahally.com/products/1891860617/690975578/?queryID=3e8cad836b1c6b82ebea58cfef19afd0&position=154&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,167,عينة_أو_مرفوض
عينة بولغاري لو جيم اونيخ او دو بارفيوم 1.5م,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/eff7cbe9-3520-4bf2-905e-64eebf6c1240-500x281.25-QAOXkXaIKWD1cOUCfwUUMIsumsJsRZgCUutHKs6j.jpg",https://mahally.com/products/1891860617/236125045/?queryID=3e8cad836b1c6b82ebea58cfef19afd0&position=155&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,168,عينة_أو_مرفوض
عينة ميمو مارفا او دو بارفيوم 5مل (بخاخ),40.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/af082a33-677a-402f-8b95-dd30dc441989-500x453-NniHhKU9JmSuoILCyymRkiFHAIqUtGzv9DpNyvrC.jpg",https://mahally.com/products/1891860617/1152722792/?queryID=3e8cad836b1c6b82ebea58cfef19afd0&position=159&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,172,عينة_أو_مرفوض
عينة عطر بربري هير برفيوم انتنس 5مل,28.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/0018713b-00c8-4c7f-a783-ef457b33ace8-500x500-JPiLUDa6NXYxHcMe7MESqpmaSBwYQFDqUQTOjIV1.jpg",https://mahally.com/products/1891860617/1631433979/?queryID=3e8cad836b1c6b82ebea58cfef19afd0&position=184&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,197,عينة_أو_مرفوض
عينة مارلي الثائر او دو بارفيوم 1.5مل,23.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/ea13c53f-401d-4f50-8688-400a9dff0f41-500x471-1plahy39xViqiJ3H6CDRrXIMULfPofNsyI9WG1pN.jpg",https://mahally.com/products/1891860617/1089046656/?queryID=3e8cad836b1c6b82ebea58cfef19afd0&position=195&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,208,عينة_أو_مرفوض
عينة ارماني سترونجر ويذ يو توباكو او دو بارفيوم 15مل (بخاخ),103.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/eff74589-4700-4f13-a5b3-cc2b9e3b6b58-500x500-d2eMGiZMITLO9hucxGRnFNSHfDeORtdhOvTLe0Rt.jpg",https://mahally.com/products/1891860617/45299908/?queryID=aeb3fa70e60f185448d546a3c6aa42f8&position=221&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,234,عينة_أو_مرفوض
عينة ثمين نور العين طايف او دو بارفيوم 10مل (بخاخ),138.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/c19f6507-9d4c-4c90-8fd4-4c5cb63f323a-500x500-XNdiD37UKGwN1ZO23hwd4qkRBNR347n4T8t3IHA7.jpg",https://mahally.com/products/1891860617/1868020329/?queryID=aeb3fa70e60f185448d546a3c6aa42f8&position=240&index=products_v2_store_view,م عالم جيفنشي,م عالم جيفنشي.csv,253,عينة_أو_مرفوض
